eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
17184767,2010,10,30,20,41,03.93,100.0261,-2.5729,23,3.61755,0
617431819,2019,10,10,14,56,09.22,105.0579,-6.9371,23,3.61755,0
12893873,2008,05,04,04,12,22   ,106.79,-8.11,23,3.7,0
15852995,2009,05,27,12,46,09.60,106.68,-7.48,23,3.7,0
15882040,2010,07,02,18,24,11.70,107.36,-8.1,23,3.7,0
15645946,2010,09,09,10,44,00.40,105.64,-7.1,23,3.7,0
606793376,2012,12,09,09,16,22.60,106.5,-7.73,23,3.7,0
606807053,2013,02,22,05,16,51.30,107.43,-8.02,23,3.7,0
608080019,2013,08,15,15,27,11.40,107.31,-7.93,23,3.7,0
608081250,2013,12,13,02,22,19.10,104.21,-7.05,23,3.7,0
611818450,2016,12,08,00,59,56.90,101.47,-3.02,23,3.7,0
618627400,2018,12,01,22,19,50.50,105.19,-6.79,23,3.7,0
618629113,2019,02,02,11,58,31.90,100,-2.89,23,3.7,0
618629060,2019,02,02,22,41,28.50,100.02,-2.84,23,3.7,0
2772174,2000,06,06,15,44,31.54,102.9386,-4.8824,23,3.71862,0
609343961,2016,05,05,08,05,12.71,105.1881,-7.0866,23,3.71862,0
619549532,2020,11,07,01,41,58.45,105.1485,-7.0663,23,3.71862,0
15852904,2009,04,20,16,31,48.50,104.67,-6.33,23,3.8,0
15880636,2010,03,21,03,49,01.80,107.26,-8.11,23,3.8,0
602027753,2012,07,17,15,08,41.40,106.54,-7.72,23,3.8,0
602030697,2012,09,21,00,42,10.10,102.1,-4.61,23,3.8,0
608077068,2014,02,11,02,49,30.20,108.23,-8.2,23,3.8,0
608078145,2014,08,14,17,02,41.20,107.88,-8.29,23,3.8,0
2425169,2000,03,22,12,22,32.64,104.945,-7.2265,23,3.81969,0
602856129,2013,01,21,04,58,48.52,105.1411,-7.1002,23,3.81969,0
15881449,2010,05,07,04,22,34.50,106.08,-7.53,23,3.9,0
602008572,2011,10,30,17,44,26.20,105.5,-6.94,23,3.9,0
618626179,2018,08,31,11,17,43.60,107.87,-8.07,23,3.9,0
618629109,2019,02,02,12,09,40.30,100.04,-2.93,23,3.9,0
14093697,2009,10,16,20,33,20.11,104.9742,-6.9249,23,3.92076,0
17197967,2011,03,22,08,52,21.61,105.1252,-7.1385,23,3.92076,0
601105911,2012,04,17,06,20,18.78,105.1326,-7.1259,23,3.92076,0
15854376,2009,09,03,05,03,42   ,107.36,-7.87,23,4,0
618620020,2018,01,23,06,40,58.20,106.09,-7.16,23,4,0
